,fAsym,fDist,fM3Trans,fM3Long,fAlpha,fLength,fWidth,class
13521,44.496,203.22,15.4165,56.3142,10.2461,56.6726,24.6349,0
2604,31.7638,182.399,-10.3528,22.4961,5.2636,47.3193,19.4653,1
3770,79.7989,96.2282,21.7943,62.0533,4.63,80.3238,51.6383,1
1160,12.478,166.044,-3.8469,18.7027,6.736,27.3453,9.3991,1
3094,-26.8655,155.949,19.3231,-40.8882,1.6694,50.819,25.569,1
2019,19.557,224.657,-9.781,18.7867,25.809,18.8496,16.1203,1
9780,-14.0032,93.3278,7.5515,-19.4521,24.6644,24.7242,7.6865,1
10109,13.7388,223.612,9.5327,-26.3934,5.485,34.912,17.5311,1
3236,6.3889,211.496,-13.386,17.788,12.413,32.8653,17.3477,1
17758,-80.7482,258.577,18.4183,-44.557,20.9816,67.4221,23.1555,0
16711,-58.2819,266.17,-29.2239,84.2169,17.4671,137.79,35.1898,0
18594,28.9014,186.3238,11.58,17.3733,31.7306,20.6835,6.3427,0
1362,-1.3684,127.75,5.4112,6.4231,36.0888,17.2132,11.164,1
10907,-3.0318,336.384,-8.3688,44.9303,3.861,78.2479,27.8127,1
6834,-41.5767,339.714,12.9299,-102.561,2.334,116.741,30.9644,1
14535,-27.8113,186.8069,-1.169,-10.7553,57.633,31.5516,10.9989,0
14282,-6.0248,196.9603,16.2836,31.1286,60.9796,21.6563,17.6373,0
2874,19.1908,257.263,-16.9696,49.3765,7.5444,53.1321,20.1331,1
3062,-31.1377,329.025,-19.2065,83.8799,2.21,88.2709,30.3081,1
6143,0.0198,186.207,3.7512,40.8231,17.919,44.3541,21.8288,1
16907,8.4824,315.8916,44.2257,-65.1193,24.8686,82.7136,61.6217,0
13247,-69.6858,249.2953,39.8275,-53.6101,89.9087,85.9569,54.5819,0
12391,79.6463,75.9893,37.6293,154.96,62.744,149.861,64.3038,0
6260,-2.7624,358.999,12.6339,61.47,5.1993,95.1716,37.189,1
14695,26.6969,117.6345,-6.1255,14.9191,30.7288,25.0966,9.6939,0
11113,21.1552,184.826,6.3235,10.6136,32.9032,17.4019,10.6538,1
15948,13.2927,179.5712,-2.9696,-12.1814,66.4296,33.3877,15.0465,0
11043,22.8798,204.182,-11.2028,18.7337,36.461,22.7327,9.3162,1
2714,12.7675,200.222,8.2897,18.4439,2.215,21.6235,11.0909,1
8971,25.682,156.381,6.7082,18.148,16.5296,31.3868,13.3409,1
696,37.7003,275.424,-6.4359,63.4861,1.932,80.2379,32.4995,1
1752,44.2238,202.205,16.6029,-9.3174,37.32,31.031,18.0642,1
18796,-33.2935,346.9943,-43.5956,-34.8499,24.995,85.1442,54.1205,0
876,-67.4505,279.399,16.828,22.7598,17.2162,44.5562,18.617,1
16440,-19.8085,200.0519,4.8417,-4.019,58.3505,15.9255,8.3817,0
7391,42.9826,201.673,8.2603,40.0894,1.8065,51.6256,17.1391,1
11314,-54.6353,275.476,-11.9301,79.0662,1.912,87.9869,15.8644,1
14258,22.1617,224.8616,16.1088,-6.3538,73.6545,20.0912,7.8174,0
16303,-111.596,257.985,-48.9268,-159.374,33.3319,171.894,70.2817,0
14540,57.8373,103.854,-2.705,-16.5444,73.9862,36.514,23.9292,0
13261,125.215,172.687,17.0546,110.813,23.7888,140.038,30.0048,0
1595,28.823,60.2772,14.5938,17.7287,25.519,38.5073,22.6766,1
6313,-108.693,221.341,-18.1849,73.6483,1.489,86.5927,25.3707,1
9115,16.4389,183.489,9.5081,-22.8588,7.7011,61.0765,22.1349,1
17940,91.7632,154.8265,11.3837,-30.6467,18.283,77.3767,19.1751,0
1100,11.5429,125.103,-5.5073,17.6538,40.0066,20.6413,12.7878,1
243,-6.2041,147.737,-6.9374,-19.0011,6.6462,22.2442,11.3451,1
7702,10.478,147.808,3.8484,-8.0901,2.676,27.6075,7.5854,1
12976,-14.1238,237.187,-11.4088,-17.6009,78.3458,30.3289,9.7162,0
2958,34.3106,186.873,-3.9887,9.6042,18.7509,31.276,12.5048,1
5270,-44.7173,316.669,16.671,44.6066,1.267,80.9042,27.99,1
6573,66.6649,212.377,16.2235,113.155,11.16,116.161,30.6558,1
14305,-7.4878,233.8642,-10.6597,73.2588,88.1074,90.5164,11.97,0
13835,5.7235,335.422,-7.3353,51.9805,5.3011,81.0999,20.1503,0
13249,13.0041,195.466,-10.2744,5.8187,17.901,13.1297,10.4188,0
14038,-27.3354,218.8926,-10.5872,13.0847,35.4848,23.1648,16.5207,0
12507,-179.144,138.66,-132.416,-142.709,26.902,240.462,134.084,0
17386,45.115,22.5724,-15.8673,168.544,7.886,132.299,31.2872,0
5622,-4.6093,230.687,-7.8583,7.7221,24.0178,16.5162,11.044,1
15494,-25.9338,314.29,28.993,72.1405,1.771,94.2207,52.1181,0
13002,119.9003,238.6303,-16.8921,45.5684,74.2747,123.3037,16.8877,0
5248,-12.774,137.938,11.9599,-20.7348,6.37,25.6227,16.4281,1
13691,29.1385,74.9453,-12.7209,22.4575,28.694,36.779,11.1515,0
12902,-3.9147,166.8573,-8.3314,1.7325,57.7917,26.3889,12.5779,0
7458,20.5771,45.272,-7.2758,27.6869,24.56,32.2223,21.9359,1
4979,-14.2529,194.225,10.6419,5.6612,70.9927,13.0419,10.9833,1
12448,47.3809,225.928,-7.4284,32.0415,84.9996,61.5879,13.3963,0
14621,24.3789,181.74,-15.4252,-9.406,33.348,19.4594,14.6756,0
12786,-23.0117,100.667,1.8631,-13.6033,36.47,22.4648,7.3368,0
11850,41.39,123.205,12.6525,13.3322,24.5146,31.1218,24.1058,1
11321,-2.8784,47.6311,5.7708,6.5901,10.6572,18.7573,15.3789,1
8163,2.4313,179.107,-6.9039,13.0427,25.4082,28.085,12.8567,1
11827,11.8304,168.621,14.2542,24.5385,11.0947,38.436,21.8075,1
4884,-73.9542,266.951,23.9048,68.1103,1.7184,79.1292,26.7273,1
8939,23.5404,154.555,6.5592,12.0502,5.706,21.7529,6.7839,1
3482,-102.499,319.086,-20.3582,56.8561,1.922,77.2563,17.0324,1
14888,-11.4779,96.2807,16.3058,-20.7586,87.5784,19.8108,18.5803,0
3447,43.2948,252.784,-26.9751,89.1063,3.081,100.012,44.7902,1
15833,19.3985,233.795,-4.2379,22.0902,34.689,30.7361,8.2288,0
7149,-11.298,234.542,-13.7077,-12.3428,3.387,24.2138,16.5718,1
9179,0.2123,210.212,0.0001,-5.6575,0.0002,24.1889,0.0037,1
4511,32.8331,110.385,14.256,33.523,4.533,46.9591,36.5351,1
13862,-22.7436,191.2506,14.427,-64.6192,86.4925,52.3327,24.5651,0
1606,27.3065,253.581,-30.5988,21.024,0.9214,34.8054,28.6052,1
1425,-11.0494,228.221,4.5174,-21.1455,6.311,24.0201,11.2943,1
10490,-27.4241,312.805,13.7504,64.8368,6.884,103.371,26.0372,1
9215,-5.2245,156.924,-6.5915,20.7647,17.8601,40.3693,10.5989,1
10529,-1.2687,194.772,10.6233,9.8271,3.08,20.3102,12.3589,1
16418,1.4273,109.0586,9.058,12.5071,11.3795,14.0646,9.6209,0
18518,-43.1196,161.896,-7.8403,-11.0495,84.713,74.4846,12.5178,0
7500,21.4521,88.6241,2.054,13.1382,57.761,19.6241,9.4747,1
10999,-19.8233,128.06,12.6945,-11.6249,33.4374,23.7934,19.9988,1
11489,48.0518,100.664,11.4362,-18.2315,12.037,34.6136,17.6494,1
4121,-83.0028,277.977,-9.9476,59.2178,0.4645,85.0908,21.8638,1
13089,13.2514,105.3283,14.3104,-5.688,2.7741,33.295,30.515,0
3208,-5.6489,129.982,10.1706,17.5152,39.441,21.6732,10.3466,1
11608,22.629,352.786,3.5768,-71.8447,3.4297,94.1338,29.9863,1
18419,44.6126,258.72,3.8324,21.4362,69.3544,61.5007,14.8548,0
4573,13.7086,192.034,6.9912,19.575,14.7714,24.7323,10.4829,1
1856,29.2515,125.776,8.8332,21.2692,57.543,26.4957,19.7704,1
13402,-74.9399,375.203,-30.5241,-90.8354,42.5044,102.967,48.0406,0
16366,14.491,111.267,10.2644,-6.7709,66.9514,12.9752,11.1326,0
4609,7.3167,99.172,18.8811,23.9303,31.0087,29.054,25.8172,1
11011,-1.5958,207.683,10.5617,-5.408,21.3299,20.249,15.1595,1
10482,28.542,210.992,4.6252,14.6061,1.6861,30.1667,12.8365,1
3060,-42.1404,318.193,-8.727,75.4045,0.582,81.3469,35.5186,1
11745,-71.521,327.504,-18.3064,71.503,2.0941,107.188,38.3435,1
11077,-2.5418,66.4591,-6.2151,1.1126,43.0169,15.0428,12.1241,1
13458,-74.6539,280.051,-42.0003,-155.489,38.0104,144.651,40.3478,0
16480,5.2783,50.9843,0.6898,15.4472,86.9198,13.5577,11.5007,0
13061,-34.2407,358.1938,43.4244,-51.8359,77.8223,138.2727,65.5776,0
13213,-98.712,66.0071,-30.7516,-163.247,85.3675,154.732,42.9253,0
1123,20.5129,62.528,-22.5822,7.565,53.4211,33.2147,30.5176,1
18963,2.9885,238.214,3.9065,19.9021,78.769,53.2467,6.4925,0
1119,-36.5949,209.13,6.8482,-13.776,49.667,28.7044,17.0811,1
2592,14.9999,75.2872,-11.7862,0.4805,5.011,12.9644,11.2948,1
1378,58.3367,191.26,-15.8224,56.1996,11.3951,66.8895,16.4561,1
5254,2.9357,83.4442,2.1195,7.5591,34.427,29.0609,26.1111,1
2213,-57.0671,304.331,14.3932,32.3796,3.4996,58.3208,25.9922,1
5156,-19.4951,195.938,-10.7023,10.2581,3.18,23.8611,14.0845,1
18422,13.1554,64.7141,9.6806,28.4159,56.0959,34.0918,14.5474,0
15924,-6.7684,180.2571,-7.572,-37.1796,58.9381,33.3384,15.5055,0
17721,15.0008,382.337,-35.4189,75.7476,87.3269,133.529,85.5088,0
9455,11.0797,166.032,-9.7683,27.3951,17.1453,30.3146,12.5905,1
4699,-39.067,154.342,-6.6979,15.3697,32.816,27.7069,9.7056,1
18793,40.8795,357.02,-111.487,152.521,81.2919,223.847,122.43,0
14822,-153.586,180.86,26.9974,-91.2738,19.7675,125.479,35.7873,0
13569,2.0496,93.2058,-5.9615,10.3782,33.9522,36.9729,12.0892,0
13384,-224.515,340.516,-59.7038,-188.032,73.6304,201.09,82.5347,0
2167,37.3566,89.6273,-6.7122,27.3424,19.1787,34.9077,21.9432,1
2715,-2.1515,103.266,5.9531,6.5884,8.113,16.6048,11.4201,1
11285,62.768,181.433,-22.5145,44.2846,3.996,66.9575,40.3173,1
11787,25.8858,216.293,-18.2842,88.3616,8.5859,97.509,38.3784,1
15822,-82.9582,56.5376,-13.0142,-144.8908,15.107,150.9752,21.2791,0
8148,-9.3369,144.517,-9.8358,12.2436,5.132,24.8266,19.6036,1
10677,-22.1371,338.012,-22.658,20.8948,3.2072,64.0853,22.7464,1
276,13.8792,90.7788,7.6886,25.8841,6.891,33.8898,17.6924,1
2035,13.0407,179.313,25.3998,92.4796,1.9148,91.3695,49.0157,1
10872,32.1447,241.735,-14.4489,31.1649,6.807,59.415,20.7728,1
13138,23.1867,176.076,24.213,22.326,51.912,61.0853,23.6968,0
3907,3.3099,247.988,5.6636,-11.1449,68.4478,20.4263,7.1947,1
2335,-22.2049,160.389,-2.8585,-11.7216,5.6753,19.0389,9.9673,1
6206,-24.2949,189.459,-12.2418,18.4922,19.4837,41.2412,16.844,1
1722,-17.8399,256.601,-13.9605,89.8199,10.8854,86.9886,32.8868,1
17933,9.7476,149.158,-6.5998,9.249,73.696,23.0916,8.971,0
4922,56.8591,222.933,15.3148,25.3144,2.4997,43.0126,15.2872,1
